Date,Open,High,Low,Close,Adj Close,Volume
2014-12-29,47100,48500,47000,48050,44872.14453,1750952
2014-12-30,48300,48500,47500,47750,44591.98438,1159390
2015-01-02,47950,48400,47650,47750,44591.98438,1155944
2015-01-05,48050,48400,47500,47650,44498.59375,1409146
2015-01-06,47000,47600,46900,47500,44358.51563,1661196
2015-01-07,46700,47600,46700,47400,44265.12891,1821266
2015-01-08,48250,50000,47900,49950,46646.48438,5006675
2015-01-09,50700,51400,49700,49700,46413.01563,3313929
2015-01-12,50000,50500,49450,50300,46973.33984,1709997
2015-01-13,48500,49650,48500,49000,45759.31641,3047952
2015-01-14,48900,49850,48850,48900,45665.92969,2241954
2015-01-15,48900,49500,48850,49500,46226.24219,1468474
2015-01-16,48450,48900,47250,47450,44311.82422,4820176
2015-01-19,47500,47950,46800,47000,43891.58203,3180759
2015-01-20,47250,47650,46800,47050,43938.27734,2211331
2015-01-21,47500,48200,47400,48050,44872.14453,2156709
2015-01-22,48100,48450,47000,47000,43891.58203,2905955
2015-01-23,47600,47750,47200,47500,44358.51563,1572903
2015-01-26,47250,48300,47000,48250,45058.91406,1410144
2015-01-27,49350,49350,48800,49150,45899.39063,2292330
2015-01-28,49150,49300,48200,49200,45946.08594,2333159
2015-01-29,48500,49200,47300,47400,44265.12891,5020783
2015-01-30,48000,48000,47300,47650,44498.59375,2743159
2015-02-02,47300,47600,46350,46600,43518.03906,3258140
2015-02-03,46450,47450,46450,46700,43611.42969,2513399
2015-02-04,47400,47450,47000,47300,44171.74219,1823018
2015-02-05,47300,47400,46300,47150,44031.66406,1984849
2015-02-06,47100,47200,45200,45500,42490.78906,4547785
2015-02-09,45300,45950,45000,45200,42210.63281,2741040
2015-02-10,45250,45800,45050,45150,42163.9375,2254222
2015-02-11,45900,47050,45650,46850,43751.50781,3231887
2015-02-12,47450,47500,46600,46650,43564.73438,1903965
2015-02-13,47000,47450,46750,47050,43938.27734,1354556
2015-02-16,47550,47550,47200,47500,44358.51563,1534022
2015-02-17,47350,47450,46300,46450,43377.96094,1677139
2015-02-23,46500,47200,46400,47200,44078.35938,2273267
2015-02-24,47900,47900,47200,47600,44451.90234,1880503
2015-02-25,47200,47400,46400,46500,43424.65625,2633709
2015-02-26,46750,47200,46450,47100,43984.97266,1938544
2015-02-27,47000,47300,46250,46600,43518.03906,2344677
2015-03-02,46850,46900,46300,46850,43751.50781,2246166
2015-03-03,47150,47500,46650,47300,44171.74219,2100433
2015-03-04,47300,47300,45700,45900,42864.33594,4160256
2015-03-05,45650,46100,45250,45500,42490.78906,2214809
2015-03-06,46050,46400,45950,46200,43144.49609,1877771
2015-03-09,45450,45750,44850,45100,42117.24609,3175721
2015-03-10,45200,45500,43100,44150,41230.07422,5232109
2015-03-11,43500,44000,43150,43400,40529.67578,4527681
2015-03-12,43400,44100,43250,43250,40389.59766,3929253
2015-03-13,43350,44150,43350,44100,41183.38281,1962212
2015-03-16,44400,46000,44400,45800,42770.95313,4031380
2015-03-17,46100,46450,45850,46250,43191.1875,2790117
2015-03-18,46250,46400,45600,46250,43191.1875,2790286
2015-03-19,46950,47000,46300,46400,43331.26953,1983215
2015-03-20,46450,46850,45850,46850,43751.50781,1948819
2015-03-23,47100,48200,47050,48150,44965.53125,3781841
2015-03-24,47700,48200,47550,48000,44825.45313,2155547
2015-03-25,48000,48350,47850,48300,45105.60938,1830867
2015-03-26,47250,47500,46550,47000,43891.58203,4469503
2015-03-27,46150,46400,45400,45800,42770.95313,4492231
2015-03-30,46000,46350,45100,45500,42490.78906,2776997
2015-03-31,46300,46350,45450,45550,42537.48438,2399612
2015-04-01,45950,46200,44900,45000,42023.85547,2051147
2015-04-02,44550,45350,44100,44800,41837.08594,3148519
2015-04-03,44300,44800,44000,44200,41276.76953,2834100
2015-04-06,44450,45100,44250,44750,41790.39453,2068077
2015-04-07,45000,45050,43500,43950,41043.30469,3691912
2015-04-08,43900,44150,42450,42600,39782.58594,5694496
2015-04-09,42000,42550,41550,41900,39128.88281,5892744
2015-04-10,42850,43800,42700,43600,40716.44922,6518647
2015-04-13,44400,44500,43800,44200,41276.76953,3362917
2015-04-14,44250,44400,43700,44000,41090,2134645
2015-04-15,44000,44500,44000,44300,41370.15625,2146331
2015-04-16,44750,44900,44150,44500,41556.92578,2096120
2015-04-17,44700,44750,44050,44550,41603.62109,2153757
2015-04-20,44100,44400,43600,44250,41323.46094,2355455
2015-04-21,44600,45500,44250,45150,42163.9375,3270598
2015-04-22,45700,46100,45250,45250,42257.32813,3816002
2015-04-23,46400,46800,45650,45800,42770.95313,4995010
2015-04-24,46700,47250,46500,47200,44078.35938,4400132
2015-04-27,47300,47500,45400,45800,42770.95313,3688453
2015-04-28,46150,46950,45700,46950,43844.89453,2311231
2015-04-29,47050,47400,46300,46900,43798.20313,2422884
2015-04-30,46900,46900,45650,46150,43097.80078,2419318
2015-05-04,46500,47100,46400,46800,43704.8125,2239896
2015-05-06,46300,46350,45000,45300,42304.01953,3291950
2015-05-07,44850,46000,44550,45900,42864.33594,2142745
2015-05-08,45300,46300,45050,45950,42911.03125,1695019
2015-05-11,46100,46700,46000,46300,43237.88281,1592730
2015-05-12,46300,47250,46000,46050,43004.41797,2364231
2015-05-13,46100,46150,45200,45250,42257.32813,1896100
2015-05-14,45650,46050,45200,45550,42537.48438,1889682
2015-05-15,45750,45950,45200,45300,42304.01953,1215027
2015-05-18,45100,45450,44400,45450,42444.09766,2195599
2015-05-19,45650,46150,45500,46100,43051.11328,1510095
2015-05-20,46500,46900,46400,46850,43751.50781,1784488
2015-05-21,47000,47500,46200,46350,43284.57813,1880002
2015-05-22,46750,47850,46350,47850,44685.37109,3953338
2015-05-26,48500,49150,47800,48000,44825.45313,3594626
2015-05-27,48000,48800,47500,48450,45245.6875,3441135
2015-05-28,49450,50000,49150,49650,46366.32031,5512264
2015-05-29,49350,51300,49200,51100,47720.42578,6512595
2015-06-01,50600,50900,49550,50600,47253.49609,4623131
2015-06-02,50700,51500,50300,51200,47813.8125,2173205
2015-06-03,51000,51700,49600,49800,46506.40625,2724813
2015-06-04,49500,49600,48100,48300,45105.60938,3262007
2015-06-05,48300,49550,48150,49050,45806.00781,2134371
2015-06-08,48600,48800,48000,48050,44872.14453,1954503
2015-06-09,47750,48300,47200,48000,44825.45313,2168902
2015-06-10,48000,48000,47500,47500,44358.51563,2649918
2015-06-11,47800,47900,47050,47100,43984.97266,2696182
2015-06-12,47750,47800,46450,46550,43471.35156,2307036
2015-06-15,46550,47100,46050,46150,43097.80078,1775422
2015-06-16,45250,45300,44200,44200,41276.76953,6161260
2015-06-17,44250,45250,44250,44950,41977.16406,3461566
2015-06-18,44900,44950,44300,44300,41370.15625,2225236
2015-06-19,44350,44550,43500,43550,40669.75391,3858378
